CustomerKey;GeographyKey;FirstName;LastName;BirthDate;MaritalStatus;Gender;YearlyIncome;TotalChildren;EnglishEducation;EnglishOccupation;DateFirstPurchase;CommuteDistance;NumberCarsOwned;HouseOwnerFlag
18482;2;Sharon;Nara;1961-03-14;S;F;80000,00;2;High School;Skilled Manual;2011-06-21;1-2 Miles;2;0
18702;2;Adriana;Smith;1973-10-06;S;F;60000,00;2;Bachelors;Professional;2011-06-29;2-5 Miles;1;1
19098;2;Xavier;Evans;1978-02-19;M;M;110000,00;0;Partial College;Management;2013-07-11;10+ Miles;3;1
19101;2;Susan;Cai;1981-12-03;S;F;90000,00;0;Bachelors;Professional;2013-07-18;10+ Miles;4;0
19610;2;Deborah;Andersen;1970-06-19;M;F;90000,00;1;Bachelors;Professional;2013-04-30;5-10 Miles;1;1
19611;2;Meagan;Prasad;1969-04-13;S;F;70000,00;0;Bachelors;Professional;2011-08-21;0-1 Miles;1;0
19631;2;Timothy;Scott;1964-03-22;M;M;40000,00;2;Bachelors;Management;2011-09-22;0-1 Miles;1;1
19961;2;Kristin;She;1977-08-04;M;F;80000,00;0;Bachelors;Professional;2013-04-27;10+ Miles;3;0
20157;2;Riley;Reed;1983-04-09;M;F;10000,00;0;High School;Manual;2011-10-07;0-1 Miles;2;0
20213;2;Gina;Dominguez;1975-08-09;S;F;80000,00;4;Graduate Degree;Management;2011-10-02;0-1 Miles;1;1
20222;2;Melissa;Morgan;1978-12-12;M;F;70000,00;5;Bachelors;Professional;2013-06-07;10+ Miles;3;0
20235;2;Kenneth;Deng;1969-11-20;S;M;60000,00;4;Bachelors;Professional;2013-12-13;5-10 Miles;3;1
20239;2;Jill;Ortega;1984-06-21;M;F;90000,00;2;Bachelors;Professional;2011-10-23;2-5 Miles;0;1
20429;2;Curtis;Gao;1958-10-23;M;M;40000,00;3;Partial College;Skilled Manual;2011-11-12;5-10 Miles;2;1
21877;2;Clarence;Xu;1982-02-10;S;M;80000,00;0;Bachelors;Professional;2012-03-17;10+ Miles;2;1
21972;2;Mandy;She;1975-09-29;M;F;60000,00;4;Bachelors;Professional;2013-05-28;0-1 Miles;2;0
22004;2;Meghan;Ortega;1966-02-13;M;F;60000,00;1;Partial College;Skilled Manual;2012-04-09;5-10 Miles;1;1
22198;2;Frank;Hernandez;1973-05-10;M;M;80000,00;2;High School;Skilled Manual;2012-04-10;1-2 Miles;2;0
22205;2;Bobby;Saunders;1964-02-07;M;M;110000,00;4;Bachelors;Management;2013-07-20;0-1 Miles;3;1
22840;2;Dominic;Sullivan;1981-10-08;S;M;70000,00;0;Bachelors;Professional;2013-10-21;10+ Miles;2;1
22928;2;Natalie;Nelson;1968-10-08;S;F;70000,00;0;Bachelors;Professional;2013-06-13;5-10 Miles;1;0
23098;2;Pedro;Rubio;1961-01-12;S;M;30000,00;3;Partial College;Clerical;2012-06-01;1-2 Miles;2;0
23101;2;Barbara;Lal;1958-06-17;M;F;30000,00;3;High School;Skilled Manual;2012-06-16;5-10 Miles;2;1
23417;2;Emmanuel;Sai;1974-01-20;S;M;60000,00;2;Bachelors;Professional;2012-07-20;0-1 Miles;1;0
23419;2;Shawna;Xu;1983-10-29;S;F;70000,00;5;Bachelors;Professional;2013-10-29;10+ Miles;3;1
23528;2;Jaime;Ferrier;1967-02-19;M;M;60000,00;1;Partial College;Skilled Manual;2013-09-16;5-10 Miles;1;1
23562;2;Warren;Luo;1944-02-09;S;M;30000,00;2;Partial College;Clerical;2013-05-29;0-1 Miles;2;0
23576;2;Ann;Sara;1955-07-04;M;F;10000,00;5;High School;Skilled Manual;2013-05-21;5-10 Miles;2;1
23644;2;Allison;Young;1985-09-29;M;F;70000,00;0;Bachelors;Professional;2013-10-05;10+ Miles;4;1
23655;2;Grace;Murphy;1978-05-21;S;F;90000,00;0;Bachelors;Professional;2012-09-02;10+ Miles;3;1
24270;2;Latasha;Ortega;1955-11-12;M;F;20000,00;2;Partial High School;Clerical;2012-10-11;5-10 Miles;2;1
24483;2;Arthur;Kapoor;1941-12-14;S;M;30000,00;2;Partial College;Clerical;2013-09-16;5-10 Miles;2;0
24485;2;Franklin;Ma;1959-03-08;S;M;40000,00;2;Bachelors;Management;2012-12-23;5-10 Miles;1;0
24494;2;Rafael;Zhou;1942-09-02;M;M;30000,00;2;Partial College;Clerical;2013-01-31;0-1 Miles;2;0
24895;2;Dalton;Henderson;1980-05-09;M;M;70000,00;0;Bachelors;Professional;2013-03-03;10+ Miles;4;0
25012;2;Craig;Martin;1954-03-19;M;M;10000,00;2;Partial High School;Clerical;2013-04-13;5-10 Miles;2;1
25021;2;Edwin;Sharma;1955-08-04;M;M;20000,00;2;Partial High School;Clerical;2012-08-05;5-10 Miles;2;1
25123;2;Sharon;Simpson;1972-08-31;M;F;80000,00;5;Graduate Degree;Management;2013-09-11;0-1 Miles;3;1
25245;2;Francis;Gutierrez;1941-08-26;S;M;30000,00;2;Partial College;Clerical;2013-08-15;0-1 Miles;2;0
25252;2;Warren;Zhang;1961-10-02;S;M;80000,00;1;Partial College;Skilled Manual;2011-01-17;0-1 Miles;1;0
25918;2;Carly;Anand;1951-08-10;S;F;30000,00;2;Partial College;Clerical;2011-10-26;5-10 Miles;2;0
26129;2;Jodi;Anand;1969-10-02;M;F;60000,00;4;Bachelors;Professional;2013-12-16;0-1 Miles;2;1
26140;2;Emily;Long;1972-06-26;S;F;100000,00;0;Graduate Degree;Management;2012-03-22;1-2 Miles;1;0
26562;2;Edward;Wilson;1958-07-24;M;M;40000,00;2;Partial College;Skilled Manual;2012-06-12;5-10 Miles;2;1
26565;2;Gabriel;Mitchell;1959-11-17;S;M;40000,00;3;Partial High School;Clerical;2013-12-31;1-2 Miles;2;0
26653;2;Kaylee;Allen;1986-03-10;M;F;80000,00;4;Graduate Degree;Management;2012-07-12;0-1 Miles;1;1
26753;2;Summer;Patel;1971-07-20;S;F;60000,00;1;Partial College;Skilled Manual;2012-08-28;0-1 Miles;1;0
27144;2;Franklin;Shen;1982-04-20;S;M;60000,00;3;Bachelors;Professional;2013-09-09;2-5 Miles;1;1
27363;2;Tara;Jai;1983-08-08;M;F;110000,00;0;High School;Management;2013-07-09;10+ Miles;3;1
27482;2;Gary;Diaz;1960-01-19;M;M;10000,00;2;Partial High School;Clerical;2013-03-06;5-10 Miles;2;1
27497;2;Johnathan;Rana;1960-01-31;S;M;40000,00;3;Partial High School;Clerical;2013-06-13;1-2 Miles;2;0
27515;2;Keith;Becker;1963-09-09;S;M;100000,00;1;Bachelors;Management;2013-07-01;0-1 Miles;3;0
27586;2;Jenny;She;1974-02-12;M;F;60000,00;2;Bachelors;Professional;2013-11-16;2-5 Miles;1;1
27874;2;Randy;Zhao;1983-12-16;S;M;20000,00;0;Bachelors;Clerical;2013-03-11;0-1 Miles;0;1
27976;2;Dominique;Gonzalez;1977-10-24;S;F;90000,00;0;Bachelors;Professional;2013-09-16;10+ Miles;3;0
28135;2;Carla;Madan;1962-11-06;S;F;70000,00;2;High School;Skilled Manual;2013-12-02;1-2 Miles;2;0
28352;2;Meghan;Sanz;1948-12-06;S;F;40000,00;2;Bachelors;Management;2013-07-08;0-1 Miles;2;0
28942;2;Frederick;Raman;1978-08-27;M;M;90000,00;0;Bachelors;Professional;2013-04-16;10+ Miles;3;1
29288;3;Glenn;Lin;1981-04-13;M;M;60000,00;4;Bachelors;Professional;2014-01-25;0-1 Miles;2;0
29452;3;Meredith;Romero;1984-11-19;S;F;10000,00;0;Partial College;Manual;2013-08-10;2-5 Miles;1;1
28324;3;Jésus;Martin;1968-04-03;M;M;60000,00;1;Partial College;Skilled Manual;2013-06-23;5-10 Miles;1;1
28136;3;Kelli;Raje;1962-09-23;M;F;70000,00;2;High School;Skilled Manual;2013-01-02;5-10 Miles;2;1
27980;3;Crystal;Hu;1982-05-01;M;F;80000,00;0;Bachelors;Professional;2013-05-16;10+ Miles;4;0
27982;3;Cesar;Perez;1983-09-08;S;M;120000,00;0;Partial High School;Professional;2013-11-02;10+ Miles;4;0
27591;3;Gerald;Serrano;1973-02-13;M;M;70000,00;5;Bachelors;Professional;2013-12-21;10+ Miles;3;0
27593;3;Jorge;Lin;1978-12-12;M;M;70000,00;5;Bachelors;Professional;2013-09-15;10+ Miles;4;1
27701;3;Joel;Arthur;1976-08-05;M;M;60000,00;1;Partial College;Skilled Manual;2013-12-20;5-10 Miles;1;1
27351;3;Jenny;Liang;1985-08-02;M;F;110000,00;0;Partial College;Management;2013-06-05;10+ Miles;3;1
26665;3;Jésus;Vazquez;1973-04-25;S;M;70000,00;5;Bachelors;Professional;2013-05-25;10+ Miles;3;1
26559;3;Marshall;Ye;1954-11-13;S;M;10000,00;2;Partial High School;Clerical;2013-05-15;5-10 Miles;2;1
26590;3;Jorge;Guo;1964-05-30;M;M;100000,00;1;Bachelors;Management;2013-10-17;10+ Miles;1;1
26162;3;Toni;Malhotra;1966-02-07;M;F;60000,00;3;Partial College;Skilled Manual;2012-04-05;0-1 Miles;2;1
25815;3;Jacquelyn;Romero;1986-03-21;M;F;80000,00;0;Bachelors;Professional;2013-02-14;10+ Miles;3;1
25824;3;Terry;Pal;1983-06-22;M;M;90000,00;0;Bachelors;Professional;2013-10-02;10+ Miles;3;0
25224;3;Keith;Kumar;1970-09-24;S;M;70000,00;0;Bachelors;Professional;2013-04-02;5-10 Miles;1;0
24610;3;Troy;Kapoor;1978-05-06;S;M;130000,00;4;High School;Management;2013-09-10;10+ Miles;4;0
24246;3;Victor;Ramos;1953-03-20;M;M;10000,00;2;Partial High School;Clerical;2013-05-09;1-2 Miles;2;1
23012;3;Mathew;Carlson;1952-03-23;M;M;20000,00;4;High School;Skilled Manual;2013-09-07;5-10 Miles;2;1
22843;3;Tiffany;Lu;1982-04-06;S;F;70000,00;0;Bachelors;Professional;2013-04-12;10+ Miles;3;0
22212;3;Kara;Xu;1964-09-03;M;F;110000,00;1;Bachelors;Management;2013-05-03;2-5 Miles;4;1
21890;3;Tiffany;Zeng;1978-08-05;M;F;120000,00;0;Partial High School;Professional;2013-07-27;10+ Miles;4;1
21562;3;Drew;Jai;1983-10-16;S;M;100000,00;0;High School;Management;2012-03-21;10+ Miles;3;1
20630;3;Diane;Alonso;1975-09-12;M;F;130000,00;5;High School;Management;2013-11-01;0-1 Miles;4;1
21000;3;Geoffrey;Perez;1983-09-23;M;M;20000,00;0;Bachelors;Clerical;2012-01-25;0-1 Miles;0;1
21181;3;Summer;Sullivan;1971-03-19;S;F;60000,00;3;Bachelors;Professional;2013-09-14;2-5 Miles;1;1
21221;3;Martin;Sai;1967-01-19;M;M;60000,00;1;Partial College;Skilled Manual;2013-07-29;5-10 Miles;1;1
19583;3;Jake;Li;1973-11-12;M;M;70000,00;5;Bachelors;Professional;2013-05-18;10+ Miles;4;1
19592;3;Tara;Xu;1974-02-21;S;F;60000,00;3;Bachelors;Professional;2011-08-22;0-1 Miles;2;0
19596;3;Allen;Fernandez;1974-05-07;S;M;70000,00;0;Bachelors;Professional;2011-08-05;0-1 Miles;1;0
19100;3;Bradley;Rai;1982-05-28;M;M;100000,00;0;High School;Management;2013-07-22;10+ Miles;3;1
19095;3;Meredith;Martinez;1979-05-07;S;F;100000,00;0;High School;Management;2011-08-22;10+ Miles;2;1
18731;3;Brett;Malhotra;1964-12-29;S;M;90000,00;1;Bachelors;Professional;2011-07-27;2-5 Miles;1;1
18766;3;Francisco;Sai;1945-07-14;M;M;30000,00;2;Partial College;Clerical;2011-07-16;0-1 Miles;2;0
18484;3;Dustin;Sharma;1972-06-10;S;M;80000,00;2;High School;Skilled Manual;2011-06-07;1-2 Miles;2;0
18491;3;Michele;Gonzalez;1962-11-24;S;F;70000,00;2;High School;Professional;2011-06-14;5-10 Miles;2;1
18290;3;Audrey;Hernandez;1975-10-18;S;F;70000,00;0;Bachelors;Professional;2013-02-08;5-10 Miles;1;0
18264;3;Jeffery;Ma;1969-12-03;S;M;60000,00;4;Bachelors;Professional;2013-09-21;10+ Miles;3;1
18197;3;Jenny;Zimmerman;1980-01-10;M;F;110000,00;0;Partial College;Management;2013-02-19;10+ Miles;3;1
18198;3;Cedric;Xu;1979-09-21;S;M;120000,00;5;Partial High School;Professional;2011-05-17;10+ Miles;4;1
17915;3;Aimee;Li;1983-08-19;S;F;10000,00;1;High School;Manual;2011-04-10;2-5 Miles;0;0
17925;3;Bradley;Raji;1983-03-20;S;M;20000,00;0;Bachelors;Clerical;2011-04-11;0-1 Miles;0;1
17729;3;Edgar;Garcia;1983-08-24;M;M;10000,00;0;Partial College;Manual;2013-04-02;0-1 Miles;1;0
17479;3;Kristine;Ramos;1954-03-13;M;F;10000,00;2;Partial High School;Clerical;2013-05-01;5-10 Miles;2;1
17320;3;Alan;Zhu;1975-09-21;S;M;70000,00;0;Bachelors;Professional;2011-03-02;0-1 Miles;1;0
17303;3;Terrence;Tang;1981-04-13;M;M;60000,00;3;Bachelors;Professional;2013-08-18;0-1 Miles;2;1
17078;3;Jenny;Zhu;1969-02-01;S;F;70000,00;0;Bachelors;Professional;2013-02-04;5-10 Miles;1;0
17048;3;Natasha;Gutierrez;1986-03-14;S;F;90000,00;1;Graduate Degree;Management;2011-02-20;0-1 Miles;0;1
17055;3;Willie;She;1986-05-05;S;M;110000,00;1;Graduate Degree;Management;2011-03-04;1-2 Miles;1;1
17052;3;Rafael;Nara;1979-04-18;M;M;70000,00;5;Bachelors;Professional;2013-04-20;10+ Miles;3;1
16706;3;Jenny;Shan;1963-11-07;M;F;80000,00;5;Bachelors;Professional;2013-09-22;1-2 Miles;2;1
16640;3;Colin;Lal;1976-11-30;M;M;130000,00;0;Partial High School;Management;2013-04-18;10+ Miles;4;0
16632;3;Ruben;Romero;1976-11-13;S;M;100000,00;0;High School;Management;2013-07-25;10+ Miles;3;1
16496;3;Dawn;Tang;1965-05-14;S;F;80000,00;2;Partial College;Skilled Manual;2011-01-24;5-10 Miles;2;1
15735;3;Lori;Blanco;1975-10-30;M;F;100000,00;0;Partial High School;Professional;2013-06-21;10+ Miles;4;1
15718;3;Heather;Lin;1981-10-13;M;F;70000,00;0;Bachelors;Professional;2013-09-16;10+ Miles;3;1
15220;3;Micah;Liu;1975-09-07;S;M;70000,00;0;Bachelors;Professional;2012-11-24;0-1 Miles;1;0
15238;3;Jonathon;Alonso;1967-10-13;M;M;70000,00;1;Partial College;Skilled Manual;2013-06-11;5-10 Miles;1;1
15605;3;Alan;Yang;1970-02-21;M;M;60000,00;4;Bachelors;Professional;2013-09-27;10+ Miles;3;0
14858;3;Louis;Zhu;1956-12-18;M;M;30000,00;3;High School;Skilled Manual;2013-03-03;1-2 Miles;2;0
14307;3;Ross;Perez;1966-12-03;M;M;60000,00;1;Partial College;Skilled Manual;2013-02-19;5-10 Miles;1;1
14212;3;Erick;Madan;1980-10-30;S;M;80000,00;0;Bachelors;Professional;2013-05-11;10+ Miles;3;0
14222;3;Dawn;Zhang;1983-07-24;S;F;80000,00;0;Bachelors;Professional;2013-08-18;10+ Miles;3;1
13966;3;Darren;Dominguez;1971-10-02;M;M;90000,00;0;Bachelors;Professional;2012-07-12;0-1 Miles;0;1
13642;3;Cassie;Nara;1976-04-08;M;F;100000,00;0;High School;Management;2013-05-09;10+ Miles;4;0
13627;3;Natasha;Rubio;1978-01-04;M;F;80000,00;0;Bachelors;Professional;2013-03-17;10+ Miles;3;1
13104;3;Gregory;Becker;1974-04-08;S;M;70000,00;0;Bachelors;Professional;2012-06-10;5-10 Miles;1;0
12989;3;Carly;Goel;1975-05-13;M;F;100000,00;1;Graduate Degree;Management;2012-03-31;0-1 Miles;0;1
12991;3;Jésus;Serrano;1979-03-09;M;M;60000,00;2;Bachelors;Professional;2012-04-17;0-1 Miles;1;1
12997;3;Nina;Xie;1973-11-08;M;F;60000,00;2;Bachelors;Professional;2013-07-05;2-5 Miles;1;1
13004;3;Randy;Chen;1972-10-31;M;M;80000,00;5;Graduate Degree;Management;2013-06-22;0-1 Miles;2;0
12247;3;Brandy;Raman;1985-04-16;S;F;20000,00;0;Bachelors;Clerical;2013-02-01;0-1 Miles;0;1
12344;3;Dominique;Perez;1980-11-29;S;F;80000,00;0;Bachelors;Professional;2013-03-14;10+ Miles;3;0
12038;3;George;Vance;1949-02-06;S;M;40000,00;2;Bachelors;Management;2013-05-04;5-10 Miles;2;1
11917;3;Roy;Sanz;1971-04-21;S;M;70000,00;0;Bachelors;Professional;2011-10-27;5-10 Miles;1;1
11901;3;Stacy;Alvarez;1973-08-18;S;F;60000,00;2;Bachelors;Professional;2011-09-10;0-1 Miles;1;0
11758;3;Colin;Yuan;1979-12-19;M;M;70000,00;5;Bachelors;Professional;2013-03-30;10+ Miles;3;1
11103;3;Cassie;Chande;1981-04-12;S;F;70000,00;0;Bachelors;Professional;2011-04-15;5-10 Miles;1;1
11110;3;Curtis;Yang;1967-12-04;M;M;60000,00;1;Partial College;Skilled Manual;2011-05-01;5-10 Miles;1;1
11026;4;Harold;Sai;1951-10-01;S;M;30000,00;2;Partial College;Clerical;2011-01-23;1-2 Miles;2;0
11752;4;Lauren;Bryant;1981-05-03;M;F;80000,00;4;Graduate Degree;Management;2013-02-27;0-1 Miles;1;1
11910;4;Jaclyn;Zheng;1971-12-10;M;F;80000,00;5;Graduate Degree;Management;2011-10-09;0-1 Miles;3;1
11993;4;Rosa;Wang;1977-09-12;S;F;60000,00;1;Partial College;Skilled Manual;2011-11-13;0-1 Miles;1;0
12001;4;Shannon;Yang;1981-12-30;S;F;80000,00;5;Bachelors;Professional;2011-11-14;1-2 Miles;4;1
11988;4;Kathryn;Chapman;1968-02-17;S;F;70000,00;1;Partial College;Skilled Manual;2011-11-10;5-10 Miles;1;1
12684;4;Shaun;Shen;1978-11-20;M;M;120000,00;0;Partial High School;Professional;2012-02-06;10+ Miles;4;1
13012;4;Krystal;Hu;1971-03-24;S;F;70000,00;0;Bachelors;Professional;2012-04-19;0-1 Miles;1;0
13113;4;Bryant;Sanchez;1972-01-11;S;M;100000,00;0;Bachelors;Professional;2012-06-15;5-10 Miles;1;0
13034;4;Kelsey;Yuan;1954-08-27;S;F;20000,00;2;Partial High School;Clerical;2013-06-07;5-10 Miles;2;1
13051;4;Ethan;Jones;1960-05-26;S;M;80000,00;2;Partial College;Skilled Manual;2012-04-11;1-2 Miles;2;0
14124;4;Justin;Li;1986-03-11;M;M;10000,00;0;Partial College;Manual;2013-04-28;0-1 Miles;1;0
14299;4;Jermaine;Chandra;1972-12-08;M;M;90000,00;2;Bachelors;Professional;2012-09-07;0-1 Miles;1;0
14305;4;Brendan;Shen;1968-01-08;M;M;60000,00;1;Bachelors;Professional;2012-09-19;0-1 Miles;1;1
14346;4;Evelyn;Perez;1946-11-29;S;F;40000,00;2;Bachelors;Management;2012-09-26;5-10 Miles;2;1
15021;4;Lucas;Moore;1956-10-09;M;M;30000,00;3;High School;Skilled Manual;2013-03-20;1-2 Miles;2;0
14676;4;Micah;Wang;1972-07-25;S;M;70000,00;5;Bachelors;Professional;2012-09-14;10+ Miles;4;1
15588;4;Kristy;Alvarez;1980-07-03;M;F;110000,00;1;Graduate Degree;Management;2012-11-02;2-5 Miles;1;1
15594;4;Joanna;Carlson;1978-03-05;S;F;80000,00;5;Graduate Degree;Management;2013-12-24;0-1 Miles;2;1
15644;4;Savannah;Gonzalez;1985-02-16;S;F;10000,00;1;High School;Manual;2012-11-11;1-2 Miles;0;0
15425;4;Tina;Sai;1955-09-22;M;F;10000,00;5;High School;Skilled Manual;2012-11-12;1-2 Miles;2;0
15212;4;Marcus;Henderson;1967-01-11;M;M;60000,00;1;Bachelors;Professional;2013-04-13;5-10 Miles;1;1
16348;4;Roy;Raman;1960-01-01;M;M;80000,00;2;Partial College;Skilled Manual;2011-01-16;5-10 Miles;2;1
16352;4;Tiffany;Gao;1965-08-02;S;F;80000,00;2;Partial College;Skilled Manual;2011-01-13;5-10 Miles;2;1
16659;4;Emily;Jones;1961-06-01;S;F;80000,00;2;High School;Skilled Manual;2011-02-02;5-10 Miles;2;1
16660;4;Lee;Blanco;1961-12-01;S;M;70000,00;2;High School;Skilled Manual;2011-02-12;1-2 Miles;2;0
16525;4;Martha;Liang;1983-11-22;M;F;20000,00;0;Bachelors;Clerical;2011-01-14;0-1 Miles;0;0
16529;4;Jonathon;Gutierrez;1983-01-25;M;M;20000,00;0;Bachelors;Clerical;2011-01-02;0-1 Miles;0;1
17062;4;Christy;Lu;1973-05-26;M;F;80000,00;5;Graduate Degree;Management;2013-01-29;0-1 Miles;3;1
17049;4;Krystal;Lu;1974-10-05;M;F;100000,00;1;Graduate Degree;Management;2011-02-27;0-1 Miles;0;0
16928;4;Bryan;Stewart;1963-04-16;S;M;30000,00;2;Partial College;Clerical;2011-02-17;5-10 Miles;2;1
17279;4;Tanya;Alvarez;1974-01-30;M;F;60000,00;2;Bachelors;Professional;2011-03-27;0-1 Miles;1;1
17332;4;Jonathan;Green;1963-09-30;S;M;90000,00;2;Bachelors;Professional;2011-03-18;2-5 Miles;1;1
17504;4;Anna;Williams;1965-05-14;S;F;80000,00;2;Partial College;Skilled Manual;2011-04-18;5-10 Miles;2;1
17512;4;Cesar;Suri;1967-08-05;M;M;70000,00;2;High School;Skilled Manual;2011-04-17;5-10 Miles;2;1
18209;4;Ann;Chandra;1978-03-08;S;F;110000,00;0;High School;Management;2011-05-10;10+ Miles;3;1
18267;4;Brad;Jai;1968-11-19;M;M;60000,00;3;Bachelors;Professional;2013-02-17;5-10 Miles;2;1
18288;4;Daisy;Suarez;1971-02-24;S;F;70000,00;0;Bachelors;Professional;2011-06-07;0-1 Miles;1;0
